TestID,Date,Materials,Thickness,Surface,Angle,Ra,PV,Density,ThermalC,SpecificH,Oxidized,CHF
0.4mm_Zirlo_3,43299,Zirlo,0.4,Un-polished,93.033,0.16333,3.6077,6.552,13.533,0.065,no,453.49928
0.8mm_Zirlo_3,43308,Zirlo,0.8,Un-polished,93.033,0.16333,3.6077,6.552,13.533,0.065,no,523.176004
0.05''_Brass_1,43319,Brass,1.27,Un-polished,96.5,0.299333,24.44767,8.53,121.1,0.09,no,587.895711
0.063''_Brass_3,43332,Brass,1.6,Un-polished,96.5,0.299333,24.44767,8.53,121.1,0.09,no,645.585616
0.02''_Brass_4,43341,Brass,0.508,Un-polished,96.5,0.299333,24.44767,8.53,121.1,0.09,no,619.217666
0.06''_Steel_4,43349,SS 304,1.524,Un-polished,80.7,0.220333,16.623,8,16.2,0.12,no,750.3421927
0.018''_Steel_1,43334,SS 304,0.4572,Un-polished,80.7,0.220333,16.623,8,16.2,0.12,no,624.1570335
0.03''_Steel_3,43343,SS 304,0.762,Un-polished,80.7,0.220333,16.623,8,16.2,0.12,no,656.724718
0.8mm_Zirlo_600_3,43363,Zirlo,0.8,600-Grit,71.8,0.1233,3.129,6.552,13.533,0.065,no,644.828782
0.8mm_Zirlo_4,43369,Zirlo,0.8,Un-polished,93.033,0.16333,3.6077,6.552,13.533,0.065,no,541.19527
Cr_Coated_3,43392,Zirlo,0.85,Un-polished,106.8,6.79466,56.556,6.666,14.966,0.075,no,904.2905287
0.018''_Steel_600_4,43411,SS 304,0.4572,600-Grit,68.133,0.132333,2.614,8,16.2,0.12,no,616.178667
0.06''_Steel_600_3,43432,SS 304,1.524,600-Grit,68.133,0.132333,2.614,8,16.2,0.12,no,676.420394
0.02''_Brass_600_3,43441,Brass,0.508,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,626.185508
0.063''_Brass_600_4,43453,Brass,1.6,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,916.8369015
0.03''_Steel_600_3,43462,SS 304,0.762,600-Grit,68.133,0.132333,2.614,8,16.2,0.12,no,709.178652
0.05''_Brass_600_4,43468,Brass,1.27,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,697.7028825
0.4mm_Zirlo_600_3,43473,Zirlo,0.4,600-Grit,71.8,0.1233,3.129,6.552,13.533,0.065,no,596.473254
FeCrAl_Coated_600_3,43483,Zirlo,0.84,600-Grit,89.05,0.067,2.944,6.666,14.966,0.075,no,630.394388
0.032''_Brass_600_5,43522,Brass,0.81,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,785.438914
0.05''_Brass_600_8,43554,Brass,1.27,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,781.6567475
0.063''_Brass_600_7,43564,Brass,1.6,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,935.4654483
New_Cr_coated_polished_3,43587,Zirlo,0.864,600-Grit,77.067,0.073667,3.143333,6.666,14.966,0.075,no,570.536701
0.093''_Brass_600_6,43602,Brass,2.362,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,797.190408
2nd_Cr_coated_polished_2,43637,Zirlo,0.827,600-Grit,77.067,0.073667,3.143333,6.666,14.966,0.075,no,545.4954607
0.8mm_Zirlo_600_4,43648,Zirlo,0.78,600-Grit,71.8,0.08745,3.003,6.552,13.533,0.065,no,645.248312
0.048''_Steel_600_3,43658,SS 304,1.219,600-Grit,68.133,0.132333,0.2614,8,16.2,0.12,no,776.002101
0.093''_Brass_600_7,43685,Brass,2.362,600-Grit,59.55,0.241667,23.40467,8.53,121.1,0.09,no,732.689127
zirlo_autoclave_1,43732,Zirlo,0.8,600-Grit,58.2,0.169,11.26767,6.552,13.533,0.065,yes,764.155729
zirlo_autoclave_2,43733,Zirlo,0.8,600-Grit,58.2,0.215667,11.51633,6.552,13.533,0.065,yes,880.083446
Cr_coated_polished_autoclave_1,43734,Zirlo,0.864,600-Grit,96.66667,0.157,3.653667,6.666,14.966,0.075,yes,541.942577
Cr_coated_polished_autoclave_2,43735,Zirlo,0.879,600-Grit,96.66667,0.158667,4.573333,6.666,14.966,0.075,yes,536.822763
FeCrAl_coated_polished_autoclave_1,43746,Zirlo,0.873,600-Grit,72.35,0.1,3.816,6.666,14.966,0.075,yes,788.210183
FeCrAl_coated_polished_autoclave_2,43747,Zirlo,0.865,600-Grit,72.35,0.096667,4.496,6.666,14.966,0.075,yes,776.496194
zirlo_autoclave_3,43762,Zirlo,0.8,600-Grit,58.2,0.157,7.193333,6.552,13.533,0.065,yes,718.40588
2nd_zirlo_autoclave_1,43802,Zirlo,0.8,600-Grit,53.26667,0.172,5.943333333,6.552,13.533,0.065,yes,835.3004
2nd_zirlo_autoclave_2,43803,Zirlo,0.8,600-Grit,57.61667,0.237,7.098667,6.552,13.533,0.065,yes,935.724997
2nd_zirlo_autoclave_3,43804,Zirlo,0.8,600-Grit,49.68333,0.227667,7.690667,6.552,13.533,0.065,yes,798.002582
2nd_zirlo_autoclave_4,43805,Zirlo,0.8,600-Grit,42.18333,0.315333,7.460667,6.552,13.533,0.065,yes,899.946642
2nd_zirlo_autoclave_5,43808,Zirlo,0.8,600-Grit,36.28333,0.263667,6.513,6.552,13.533,0.065,yes,904.232495
2nd_zirlo_autoclave_6,43809,Zirlo,0.8,600-Grit,42.26667,0.204667,5.627667,6.552,13.533,0.065,yes,849.528642
2nd_zirlo_autoclave_7,43810,Zirlo,0.8,600-Grit,51.3,0.192667,7.773667,6.552,13.533,0.065,yes,737.912363
2nd_zirlo_autoclave_8,43812,Zirlo,0.8,600-Grit,55.96667,0.196333,6.876667,6.552,13.533,0.065,yes,757.534711
2nd_zirlo_autoclave_9,43815,Zirlo,0.8,600-Grit,62.25,0.224,5.809667,6.552,13.533,0.065,yes,808.945329
2nd_FeCrAl_autoclave_1,43816,Zirlo,0.853,600-Grit,75.91667,0.212667,4.092667,6.666,14.966,0.075,yes,655.00044
2nd_FeCrAl_autoclave_2,43817,Zirlo,0.859,600-Grit,64.7,0.170333,8.772,6.666,14.966,0.075,yes,585.175317
2nd_FeCrAl_autoclave_3,43818,Zirlo,0.864,600-Grit,54.5333,0.168667,20.92467,6.666,14.966,0.075,yes,696.099221
2nd_Cr_autoclave_1,43820,Zirlo,0.82,600-Grit,64,0.188667,4.58333,6.666,14.966,0.075,yes,542.99482
2nd_Cr_autoclave_2,43821,Zirlo,0.867,600-Grit,53.13333,0.18,9.488,6.666,14.966,0.075,yes,576.045214
2nd_Cr_autoclave_3,43822,Zirlo,0.855,600-Grit,58.65,0.19833,4.33267,6.666,14.966,0.075,yes,524.528036
